Timestamp,Date,Time,Text,User,Tag,Location ,Specific,General location
Thu Dec 27 17:40:48 ,Thu Dec 27,17:40:48,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,micjojd,,,n/a,-
Thu Dec 27 17:40:29 ,Thu Dec 27,17:40:29,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,LayonMcDuff,,,n/a,-
Thu Dec 27 17:39:28 ,Thu Dec 27,17:39:28,"RT @LouiseOFresco: A true must-read: so much did improve last year, from child &amp; maternal mortality, HIV, malaria, to reduced air &amp;plastic…",CCC_LD,,Groningen,other,-
Thu Dec 27 17:39:24 ,Thu Dec 27,17:39:24,"RT @nytimes: In Texas, emissions from the W.A. Parish power plant have been linked to as many as 180 premature deaths per year. Trump’s EPA…",tylertaba,,"Manhattan, NY",other,-
Thu Dec 27 17:39:05 ,Thu Dec 27,17:39:05,The harmful policies of this president continue to disgust me. He literally makes the entire planet unsafe.,tmartillo,,"Houston, TX","us,US",US
Thu Dec 27 17:38:56 ,Thu Dec 27,17:38:56,"RT @rob_mcivor: And, presumably, a ""free"" car park still costs money to be maintained, so motorists are being subsidised by the NHS. https:…",donaldrnoble,,"Edinburgh, Scotland, Europe, Earth 🌏 ","Scotland,Edinburgh",UK
Thu Dec 27 17:38:43 ,Thu Dec 27,17:38:43,@JustinHGillis At some point the cost of pollution has to be passed to the consumer.   Regulations do this indirect… https://t.co/XVtIrVrpIL,philritz1,,"Brooklyn, NY",other,-
Thu Dec 27 17:38:41 ,Thu Dec 27,17:38:41,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,ibeleafyou,,Kauai ,other,-
Thu Dec 27 17:38:09 ,Thu Dec 27,17:38:09,Ocean Sciences Article of the Day - Indian firefighters battle air pollution in New Delhi (Washington Post)  https://t.co/pGZXfmPYPV,CAPTRick74,,"Southwick, MA",other,-
Thu Dec 27 17:37:48 ,Thu Dec 27,17:37:48,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,rachelk82705942,,,n/a,-
Thu Dec 27 17:37:44 ,Thu Dec 27,17:37:44,"RT @nytimes: In Texas, emissions from the W.A. Parish power plant have been linked to as many as 180 premature deaths per year. Trump’s EPA…",SherryP1967_5_7,,"Missouri, USA","US,Missouri",US
Thu Dec 27 17:37:44 ,Thu Dec 27,17:37:44,RT @SLCgreen: How would you like to see the state spend this money for clean air? https://t.co/IqgcxvNrU2,kb_leecaster,,"SL,UT",other,-
Thu Dec 27 17:37:21 ,Thu Dec 27,17:37:21,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,DebbieC50234788,,"Colwood, British Columbia",other,-
Thu Dec 27 17:36:21 ,Thu Dec 27,17:36:21,This is good... if only @EPAAWheeler wouldn’t have stepped in and changed the definition of how we measure pollutan… https://t.co/WBizN4Wj8T,Darn_Catfish,,,n/a,-
